Condition,Model_Label,Configuration,Number_of_Predictors,Accuracy_Mean_SD,Macro_Precision_Mean_SD,Macro_Recall_Mean_SD,Macro_F1_Mean_SD,Number_of_Validation_Scores
Random undersampling (RUS),U-RF,ATTD & PBC,28,0.8564 ± 0.0237,0.8177 ± 0.0281,0.8536 ± 0.0276,0.8292 ± 0.0265,25
Random undersampling (RUS),U-RF,ATTD & SN,28,0.8479 ± 0.0274,0.8093 ± 0.0318,0.8420 ± 0.0404,0.8181 ± 0.0325,25
Random undersampling (RUS),U-RF,PBC & SN,28,0.8608 ± 0.0274,0.8228 ± 0.0294,0.8614 ± 0.0322,0.8350 ± 0.0299,25
Random undersampling (RUS),U-RF,ATTD,24,0.8117 ± 0.0443,0.7702 ± 0.0470,0.8079 ± 0.0542,0.7794 ± 0.0499,25
Random undersampling (RUS),U-RF,PBC,24,0.8411 ± 0.0273,0.8009 ± 0.0295,0.8366 ± 0.0330,0.8116 ± 0.0298,25
Random undersampling (RUS),U-RF,SN,24,0.8024 ± 0.0411,0.7653 ± 0.0403,0.8079 ± 0.0407,0.7729 ± 0.0425,25
Random undersampling (RUS),U-SVM,ATTD & PBC & SN,32,0.8651 ± 0.0239,0.8275 ± 0.0277,0.8617 ± 0.0265,0.8388 ± 0.0256,25
Random undersampling (RUS),U-SVM,ATTD & PBC,28,0.8527 ± 0.0308,0.8139 ± 0.0354,0.8490 ± 0.0399,0.8246 ± 0.0353,25
Random undersampling (RUS),U-SVM,ATTD & SN,28,0.8527 ± 0.0257,0.8140 ± 0.0285,0.8431 ± 0.0363,0.8226 ± 0.0300,25
Random undersampling (RUS),U-SVM,PBC & SN,28,0.8632 ± 0.0228,0.8261 ± 0.0236,0.8660 ± 0.0221,0.8384 ± 0.0228,25
Random undersampling (RUS),U-SVM,ATTD,24,0.8435 ± 0.0275,0.8042 ± 0.0307,0.8224 ± 0.0413,0.8082 ± 0.0332,25
Random undersampling (RUS),U-SVM,PBC,24,0.8368 ± 0.0300,0.7980 ± 0.0314,0.8367 ± 0.0342,0.8082 ± 0.0311,25
Random undersampling (RUS),U-SVM,SN,24,0.8079 ± 0.0264,0.7642 ± 0.0297,0.7952 ± 0.0378,0.7717 ± 0.0310,25
Random oversampling (ROS),O-AdaBoost,ATTD & PBC & SN,32,0.8645 ± 0.0217,0.8283 ± 0.0286,0.8447 ± 0.0272,0.8332 ± 0.0246,25
Random oversampling (ROS),O-AdaBoost,ATTD & PBC,28,0.8485 ± 0.0354,0.8094 ± 0.0442,0.8288 ± 0.0443,0.8150 ± 0.0417,25
Random oversampling (ROS),O-AdaBoost,ATTD & SN,28,0.8423 ± 0.0333,0.8023 ± 0.0436,0.8042 ± 0.0462,0.8009 ± 0.0425,25
Random oversampling (ROS),O-AdaBoost,PBC & SN,28,0.8602 ± 0.0255,0.8237 ± 0.0307,0.8425 ± 0.0368,0.8285 ± 0.0298,25
